"src" "target_id" "target_type" "player_id" "query_id" "answer" "answer_latency" "clip_id" "test_order" "age_grp" "clip_order"
"153" "133t_mansku_pysakoituauto.NE.mp4" 1417080527126 "pedestrian" "224_h1_n" 5 "present" 1 "133t" "1" "C" "25"
"154" "133t_mansku_pysakoituauto.NE.mp4" 1417080531875 "occlusion" "224_h1_n" 5 "notpresent" 1.987 "133t" "1" "C" "25"
"155" "149t_jalankulkija.mp4" 1415716739906 "pedestrian" "224_h1_n" 6 "present" 0.973 "149t" "1" "C" "26"
"156" "149t_jalankulkija.mp4" 1415716756633 "nothing" "224_h1_n" 6 "notpresent" 1.611 "149t" "1" "C" "26"
"157" "124t_alppila_jalankulkija_pyoratie.mp4" 1415698696554 "pedestrian" "224_h1_n" 7 "present" 1.85 "124t" "1" "C" "27"
"158" "124t_alppila_jalankulkija_pyoratie.mp4" 1415698722278 "nothing" "224_h1_n" 7 "notpresent" 3.28 "124t" "1" "C" "27"
"159" "154t_leikattu.mp4" 1417975977594 "car" "118_y1_n" 0 "present" 43.229 "154t" "1" "C" "1"
"160" "154t_leikattu.mp4" 1417976010050 "pedestrian" "118_y1_n" 0 "present" 43.838 "154t" "1" "C" "1"
"161" "154t_leikattu.mp4" 1417976010050 "pedestrian" "118_y1_n" 0 "notpresent" 44.637 "154t" "1" "C" "1"
"162" "154t_leikattu.mp4" 1417975977594 "car" "118_y1_n" 0 "notpresent" 45.669 "154t" "1" "C" "1"
"163" "154t_leikattu.mp4" 1417975977594 "car" "118_y1_n" 0 "present" 50.404 "154t" "1" "C" "1"
"164" "154t_leikattu.mp4" 1417976010050 "pedestrian" "118_y1_n" 0 "present" 50.876 "154t" "1" "C" "1"
"165" "154t_leikattu.mp4" 1417975993361 "nothing" "118_y1_n" 0 "notpresent" 56.767 "154t" "1" "C" "1"
"166" "112t_mikonkatu.mp4" 1417976320517 "nothing" "118_y1_n" 1 "present" 5.376 "112t" "1" "C" "2"
"167" "112t_mikonkatu.mp4" 1417976314948 "pedestrian" "118_y1_n" 1 "present" 7.735 "112t" "1" "C" "2"
"168" "112t_mikonkatu.mp4" 1417976314948 "pedestrian" "118_y1_n" 1 "notpresent" 11.217 "112t" "1" "C" "2"
"169" "112t_mikonkatu.mp4" 1417976320517 "nothing" "118_y1_n" 1 "notpresent" 11.918 "112t" "1" "C" "2"
"170" "112t_mikonkatu.mp4" 1417976314948 "pedestrian" "118_y1_n" 1 "present" 25.495 "112t" "1" "C" "2"
"171" "112t_mikonkatu.mp4" 1417976320517 "nothing" "118_y1_n" 1 "notpresent" 28.933 "112t" "1" "C" "2"
"172" "1t_paaty.mp4" 1417975844134 "None" "118_y1_n" 2 "present" 2.321 "1t_p" "1" "C" "3"
"173" "1t_paaty.mp4" 1417975844134 "None" "118_y1_n" 2 "notpresent" 7.276 "1t_p" "1" "C" "3"
"174" "1t_paaty.mp4" 1417975808391 "occlusion" "118_y1_n" 2 "present" 23.469 "1t_p" "1" "C" "3"
"175" "1t_paaty.mp4" 1417975808391 "occlusion" "118_y1_n" 2 "notpresent" 24.58 "1t_p" "1" "C" "3"
"176" "1t_paaty.mp4" 1417975808391 "occlusion" "118_y1_n" 2 "present" 32.449 "1t_p" "1" "C" "3"
"177" "1t_paaty.mp4" 1417975817766 "None" "118_y1_n" 2 "notpresent" 39.58 "1t_p" "1" "C" "3"
"178" "1t_paaty.mp4" 1417975844134 "None" "118_y1_n" 2 "notpresent" 39.58 "1t_p" "1" "C" "3"
"179" "101t_arkadiankatu.mp4" 1415696828199 "nothing" "118_y1_n" 3 "present" 2.283 "101t" "1" "C" "4"
"180" "101t_arkadiankatu.mp4" 1415696808942 "pedestrian" "118_y1_n" 3 "notpresent" 11.268 "101t" "1" "C" "4"
