Population by municipality and its change 31.12.2014

The data was downloaded from the address below and then translated to English. 
http://pxnet2.stat.fi/PXWeb/pxweb/fi/StatFin/StatFin__vrm__vaerak/010_vaerak_tau_123.px/?rxid=9d947544-9c3f-4f63-b239-dfad9361bedc

"Municipality","31.12.2014 Total","31.12.2014 Males","31.12.2014 Females","Change during 2014 Total","Change during 2014 Males","Change during 2014 Females"
"Siikalatva",5816,3078,2738,-41,-25,-16
"Siilinjärvi",21668,10833,10835,101,34,67
"Simo",3296,1688,1608,-60,-35,-25
"Sipoo",19034,9502,9532,120,57,63
"Siuntio",6199,3146,3053,16,10,6
"Sodankylä",8820,4600,4220,-64,-44,-20
"Soini",2273,1149,1124,-11,-12,1
"Somero",9173,4569,4604,27,26,1
"Sonkajärvi",4336,2266,2070,-118,-54,-64
"Sotkamo",10598,5255,5343,-61,-34,-27
"Sottunga",101,53,48,1,1,0
"Sulkava",2789,1390,1399,-5,-3,-2
"Sund",1035,524,511,6,-3,9
"Suomussalmi",8486,4339,4147,-175,-73,-102
"Suonenjoki",7419,3702,3717,-37,-3,-34
"Sysmä",4097,2008,2089,-42,-23,-19
"Säkylä",4539,2230,2309,-28,-20,-8
"Taipalsaari",4798,2446,2352,-28,-5,-23
"Taivalkoski",4231,2259,1972,-20,-21,1
"Taivassalo",1645,833,812,-22,-14,-8
"Tammela",6395,3211,3184,-79,-10,-69
"Tampere",223004,107951,115053,2558,1227,1331
"Tervo",1627,846,781,-42,-19,-23
"Tervola",3239,1698,1541,-67,-3,-64
"Teuva",5543,2799,2744,-113,-62,-51
"Tohmajärvi",4794,2475,2319,-82,-40,-42
"Toholampi",3354,1682,1672,-27,-23,-4
"Toivakka",2472,1272,1200,6,9,-3
"Tornio",22322,11202,11120,-49,-47,-2
"Turku",183824,87324,96500,1752,906,846
"Tuusniemi",2750,1392,1358,-52,-36,-16
"Tuusula",38198,19011,19187,73,-25,98
"Tyrnävä",6735,3434,3301,93,74,19
"Ulvila",13322,6625,6697,-39,-10,-29
"Urjala",4984,2476,2508,-121,-58,-63
"Utajärvi",2907,1535,1372,-38,-21,-17
"Utsjoki",1260,686,574,-19,-4,-15
"Uurainen",3611,1865,1746,17,25,-8
"Uusikaarlepyy",7533,3863,3670,9,7,2
"Uusikaupunki",15567,7792,7775,104,109,-5
"Vaala",3139,1631,1508,-54,-32,-22
"Vaasa",66965,33399,33566,644,400,244
"Valkeakoski",21162,10420,10742,33,14,19
"Valtimo",2362,1206,1156,-17,-16,-1
"Vantaa",210803,103787,107016,2705,1410,1295
"Varkaus",21860,10823,11037,-247,-128,-119
"Vehmaa",2339,1156,1183,9,6,3
"Vesanto",2244,1131,1113,-44,-30,-14
"Vesilahti",4492,2299,2193,19,2,17
"Veteli",3342,1712,1630,10,13,-3
"Vieremä",3816,1949,1867,-58,-32,-26
"Vihti",28995,14437,14558,66,31,35
"Viitasaari",6780,3365,3415,-115,-62,-53
"Vimpeli",3106,1575,1531,-65,-31,-34
"Virolahti",3399,1730,1669,-36,-13,-23
"Virrat",7157,3559,3598,-123,-55,-68
"Vårdö",439,224,215,6,2,4
"Vöyri",6705,3427,3278,14,1,13
"Ylitornio",4348,2179,2169,-134,-66,-68
"Ylivieska",14976,7508,7468,228,113,115
"Ylöjärvi",32260,16162,16098,517,213,304
"Ypäjä",2468,1233,1235,-15,-8,-7
"Ähtäri",6178,3105,3073,-93,-52,-41
"Äänekoski",19909,9992,9917,-168,-71,-97
